subgenre,main_genre
classical,Classical
folk,Folk
blues,Blues
jazz,Jazz
country,Country
r&b,R&B
rock,Rock
pop,Pop
hip hop,Hip-Hop
electronic,Electronic
metal,Rock
traditional-music,Folk
reggae,Folk
easy-listening,Pop
southern-metal,Rock
post-grunge,Rock
nu-metal,Rock
industrial-metal,Rock
alternative-metal,Rock
groove-metal,Rock
sad-rap,Hip-Hop
indie-rock,Rock
alternative-rock,Rock
icelandic-pop,Pop
spanish-punk,Rock
rock-urbano,Rock
skate-punk,Rock
punk,Rock
pop-punk,Pop
orgcore,Rock
minneapolis-punk,Rock
melodic-hardcore,Rock
hardcore-punk,Rock
french-hip-hop,Hip-Hop
psychedelic-rock,Rock
psychedelic-pop,Pop
proto-punk,Rock
baroque-pop,Classical
acid-rock,Rock
ska-punk,Folk
ska,Folk
trancecore,Electronic
