target,iteration,num_features,r2,rmse,mae,r2_drop,r2_drop_iteration,removed_features,audio_count,text_count,sentiment_count,embeddings_count
valance,0,414,0.4148891221658578,0.1896975403870915,0.15224396293837744,0.0,0.0,[],23,5,2,384
valance,1,404,0.4147246095072139,0.18972420666059095,0.15231585442069506,0.00016451265864392273,0.00016451265864392273,"['embedding_190', 'embedding_322', 'embedding_5', 'embedding_2', 'embedding_181', 'embedding_44', 'embedding_280', 'embedding_103', 'embedding_305', 'embedding_33']",23,5,2,374
valance,2,394,0.41588231002602516,0.18953647235645474,0.1522476829571717,-0.0009931878601673327,-0.0011577005188112555,"['embedding_227', 'embedding_78', 'embedding_68', 'embedding_199', 'embedding_29', 'embedding_266', 'embedding_184', 'embedding_320', 'embedding_325', 'embedding_271']",23,5,2,364
valance,3,384,0.414786154333055,0.18971423114271913,0.15231311889680274,0.00010296783280283606,0.0010961556929701688,"['embedding_294', 'embedding_12', 'embedding_339', 'embedding_286', 'embedding_138', 'embedding_157', 'embedding_151', 'embedding_353', 'embedding_350', 'embedding_150']",23,5,2,354
valance,4,374,0.41524708723396664,0.18963950396644672,0.15229738408050983,-0.000357965068108812,-0.00046093290091164807,"['embedding_229', 'embedding_50', 'embedding_362', 'embedding_205', 'embedding_40', 'embedding_302', 'embedding_152', 'embedding_304', 'embedding_122', 'embedding_185']",23,5,2,344
valance,5,364,0.4155309259647365,0.1895934729263071,0.15225336628202668,-0.0006418037988786818,-0.00028383873076986976,"['embedding_63', 'embedding_121', 'embedding_193', 'embedding_129', 'embedding_113', 'embedding_298', 'embedding_346', 'embedding_62', 'embedding_211', 'embedding_206']",23,5,2,334
valance,6,354,0.415155816432793,0.18965430327204866,0.1522067626896232,-0.0002666942669351524,0.00037510953194352936,"['embedding_333', 'embedding_195', 'embedding_67', 'embedding_373', 'embedding_58', 'embedding_297', 'embedding_7', 'embedding_329', 'embedding_15', 'embedding_234']",23,5,2,324
valance,7,344,0.41556659708617716,0.18958768723524988,0.1521405171133076,-0.000677474920319332,-0.00041078065338417957,"['embedding_83', 'embedding_182', 'embedding_246', 'embedding_204', 'embedding_88', 'embedding_139', 'embedding_30', 'embedding_189', 'embedding_131', 'embedding_347']",23,5,2,314
valance,8,334,0.4150438522407526,0.18967245637609698,0.15218998919369875,-0.00015473007489474888,0.0005227448454245831,"['embedding_18', 'embedding_98', 'embedding_228', 'embedding_273', 'embedding_264', 'embedding_283', 'embedding_258', 'embedding_34', 'embedding_135', 'embedding_381']",23,5,2,304
valance,9,324,0.4145338642491583,0.1897551203511945,0.15230916972587363,0.0003552579166995473,0.0005099879915942962,"['embedding_59', 'embedding_194', 'embedding_290', 'embedding_262', 'embedding_172', 'embedding_383', 'embedding_87', 'embedding_365', 'embedding_372', 'embedding_300']",23,5,2,294
