target,rank,feature,avg_importance
valence,1,duration_ms,0.05687144203293013
valence,2,acousticness,0.05352204442876667
valence,3,speechiness,0.04295292792225002
valence,4,year,0.038695361027268664
valence,5,genre_Rock,0.02897014166087762
valence,6,emb_163,0.021160657561021163
valence,7,emb_16,0.02112155127052687
valence,8,word_count,0.018584944811744383
valence,9,liveness,0.016692334140284367
valence,10,loudness,0.015686468150510547
valence,11,genre_Electronic,0.013984226296647742
valence,12,char_count,0.013441001202278742
valence,13,tempo,0.013296234314211779
valence,14,instrumentalness,0.013069094086864748
valence,15,emb_31,0.011349885749581947
valence,16,emb_314,0.008829456964937688
valence,17,genre_Hip-Hop,0.008452875333795955
valence,18,emb_380,0.007677804542591471
valence,19,genre_Folk,0.0076093180365225015
valence,20,emb_4,0.00661512677347281
energy,1,loudness,0.2689068657921458
energy,2,acousticness,0.2330135331812158
energy,3,speechiness,0.05019195896785966
energy,4,genre_Rock,0.03188674007638998
energy,5,instrumentalness,0.0143946114157655
energy,6,year,0.014089656647905556
energy,7,liveness,0.014036521632994632
energy,8,tempo,0.011025598758206157
energy,9,duration_ms,0.00724239384548202
energy,10,genre_Electronic,0.0066827473509250696
energy,11,genre_Hip-Hop,0.005976489523596033
energy,12,char_count,0.0059127686394161326
energy,13,genre_Jazz,0.004293078699786239
energy,14,genre_R&B,0.004103571365554396
energy,15,genre_Folk,0.0036703969861342015
energy,16,word_count,0.0033436784692297537
energy,17,genre_Pop,0.002506710186341725
energy,18,emb_137,0.002366678892253717
energy,19,unique_ratio,0.002255052061556908
energy,20,genre_Classical,0.002237817087397101
danceability,1,genre_Rock,0.17025052480158506
danceability,2,tempo,0.08703579908063841
danceability,3,acousticness,0.059136788587026624
danceability,4,speechiness,0.0407104088272354
danceability,5,word_count,0.0314206904830723
danceability,6,genre_Hip-Hop,0.022159623020081773
danceability,7,duration_ms,0.0215879576531018
danceability,8,liveness,0.02108018475012441
danceability,9,unique_ratio,0.012787786746956784
danceability,10,instrumentalness,0.012697388615468928
danceability,11,char_count,0.012495391836988027
danceability,12,genre_Electronic,0.0109035593984986
danceability,13,genre_Classical,0.010262286521127786
danceability,14,loudness,0.009255512047441468
danceability,15,year,0.00828585650647003
danceability,16,emb_16,0.007673060468650394
danceability,17,genre_Pop,0.00669245257613834
danceability,18,emb_253,0.0059528108665903925
danceability,19,emb_163,0.005024722731173611
danceability,20,unique_word_count,0.00478775823133681
popularity,1,year,0.06559003177622628
popularity,2,word_count,0.024588431346352496
popularity,3,unique_ratio,0.017812446799735458
popularity,4,loudness,0.016001615588682978
popularity,5,char_count,0.011429412782118837
popularity,6,acousticness,0.010771369367782306
popularity,7,duration_ms,0.009166605226456829
popularity,8,speechiness,0.00817315898076901
popularity,9,instrumentalness,0.00791925503899942
popularity,10,genre_Hip-Hop,0.007799614326937779
popularity,11,liveness,0.005760445559542637
popularity,12,unique_word_count,0.005447783171571122
popularity,13,genre_Electronic,0.00510286327221318
popularity,14,genre_Folk,0.004990726155739513
popularity,15,emb_158,0.00399731718125594
popularity,16,genre_R&B,0.003910108589583553
popularity,17,emb_241,0.0038965605537809905
popularity,18,genre_Country,0.0036878219005683486
popularity,19,genre_Blues,0.003648398809422052
popularity,20,emb_174,0.0035187680435794706
