- changelog:
    - Reorganized, optimized normalisation and transformation steps
    - popularity target scaled again
- columns
    - acousticness
    - instrumentalness
    - liveness
    - speechiness
    - loudness
    - tempo
    - duration_ms
    - key
    - mode
    - year
    - genre
- only english language
- approx 550,000 songs

# Results
target,model,rmse,mae,r2
valence,Mean,0.2488397706329323,0.21095220744609833,-0.0004373788833618164
valence,LinearRegression,0.22107345723869673,0.18294401019711204,0.2103702174097376
valence,Ridge,0.22107350584545504,0.18294647086351015,0.2103698701826331
valence,XGBoost,0.19717649769202727,0.16113296151161194,0.3718540072441101
energy,Mean,0.24484574535606038,0.20592762529850006,0.0
energy,LinearRegression,0.1142535793101595,0.08938903776854747,0.782251837101203
energy,Ridge,0.11425353075806989,0.08938929130181922,0.7822520221654459
energy,XGBoost,0.09976078194951693,0.07552029937505722,0.8339898586273193
danceability,Mean,0.17113219486796455,0.1392965316772461,-0.0002903938293457031
danceability,LinearRegression,0.13703600567787727,0.10969916945513947,0.3585954924295771
danceability,Ridge,0.13703592745355128,0.10969935498133956,0.35859622469582664
danceability,XGBoost,0.11501231052497918,0.09151731431484222,0.5481947660446167
popularity,Mean,1.490248453816196,1.334253191947937,-0.0006680488586425781
popularity,LinearRegression,1.4631687400401583,1.299273971330283,0.03536839648276202
popularity,Ridge,1.4631688724051115,1.2992748438800878,0.03536822195275813
popularity,XGBoost,1.4376461949850374,1.2663432359695435,0.06872767210006714
