- columns
    - acousticness
    - instrumentalness
    - liveness
    - speechiness
    - loudness
    - tempo
    - duration_ms
    - key
    - mode
- multi language
- approx 770,000 songs

# Results
target,model,rmse,mae,r2
valence,Mean,0.252616338273694,0.21509511557985564,-6.678900611589711e-05
valence,LinearRegression,0.24203874676642081,0.2045836602222087,0.08192972758491002
valence,Ridge,0.24203874744667164,0.20458366705306935,0.08192972242442986
valence,XGBoost,0.21267872058581633,0.17554289031841727,0.29115021507202865
energy,Mean,0.24400921685480764,0.20484292671131968,-0.0006134028069282316
energy,LinearRegression,0.12107561476101994,0.09569176141625725,0.7536416882097794
energy,Ridge,0.12107561402348382,0.09569178246355414,0.753641691211179
energy,XGBoost,0.10561443505172344,0.08037086954643949,0.8125435387881499
danceability,Mean,0.17300532618051007,0.14109926351332455,-5.908042639890532e-05
danceability,LinearRegression,0.1630601062155182,0.13267917183256556,0.1116130873667387
danceability,Ridge,0.16306010699423434,0.13267917473434587,0.11161307888150895
danceability,XGBoost,0.12901085866988393,0.10323694883851735,0.44389187298943955
popularity,Mean,17.42213711347294,14.52040825658707,-0.0023894702111464383
popularity,LinearRegression,17.28122806189887,14.436631617650693,0.01375947359126406
popularity,Ridge,17.281228006523836,14.436631707602134,0.013759479911775951
popularity,XGBoost,17.067429497677825,14.223146438598633,0.03801149129867554
