- changelog:
    - Reorganized, optimized normalisation and transformation steps
    - popularity target scaled again
- columns
    - acousticness
    - instrumentalness
    - liveness
    - speechiness
    - loudness
    - tempo
    - duration_ms
    - key
    - mode
    - year
    - genre
- only english language
- approx 550,000 songs

# Results
target,model,rmse,mae,r2
valence,Mean,0.2488397706329323,0.21095220744609833,-0.0004373788833618164
valence,LinearRegression,0.22597045650992467,0.18747453403003622,0.17500058548445663
valence,Ridge,0.225970424346111,0.18747462459544667,0.17500082033927766
valence,XGBoost,0.20116613435424607,0.1645478457212448,0.34617722034454346
energy,Mean,0.24484574535606038,0.20592762529850006,0.0
energy,LinearRegression,0.11468724957504516,0.08971430811096327,0.7805956943545418
energy,Ridge,0.11468709713734739,0.08971448214356954,0.7805962776009816
energy,XGBoost,0.10018827012058196,0.07587792724370956,0.8325640559196472
danceability,Mean,0.17113219486796455,0.1392965316772461,-0.0002903938293457031
danceability,LinearRegression,0.14111932067888042,0.11336111555551785,0.3198016417536782
danceability,Ridge,0.14111925815418974,0.11336111911179471,0.3198022444944274
danceability,XGBoost,0.1174239197728741,0.09365233778953552,0.5290489196777344
popularity,Mean,1.490248453816196,1.334253191947937,-0.0006680488586425781
popularity,LinearRegression,1.4708431132538309,1.309433505668911,0.02522280344437866
popularity,Ridge,1.4708428306579926,1.3094336687730694,0.025223178015874703
popularity,XGBoost,1.4466573695720537,1.2776201963424683,0.057016730308532715
