- changelog:
    - Reorganized, optimized normalisation and transformation steps
    - popularity target scaled again
- columns
    - acousticness
    - instrumentalness
    - liveness
    - speechiness
    - loudness
    - tempo
    - duration_ms
    - key
    - mode
    - year
    - genre
- only english language
- approx 550,000 songs

# Results
target,model,rmse,mae,r2
valence,Mean,0.2488397706329323,0.21095220744609833,-0.0004373788833618164
valence,LinearRegression,0.22550796232218512,0.18707268149055345,0.17837418549222062
valence,Ridge,0.22550793077709474,0.1870727753764522,0.17837441535779608
valence,XGBoost,0.20109980875653014,0.1645512580871582,0.3466082811355591
energy,Mean,0.24484574535606038,0.20592762529850006,0.0
energy,LinearRegression,0.11464413915396116,0.08965486744002542,0.7807606095358581
energy,Ridge,0.11464399760325082,0.08965504836956542,0.7807611509237131
energy,XGBoost,0.10017344234247755,0.07587508112192154,0.8326136469841003
danceability,Mean,0.17113219486796455,0.1392965316772461,-0.0002903938293457031
danceability,LinearRegression,0.1409309661298821,0.11319402001255782,0.32161617648008634
danceability,Ridge,0.14093090368183958,0.11319402131895578,0.3216167776784411
danceability,XGBoost,0.11746009672223655,0.09367057681083679,0.528758704662323
popularity,Mean,1.490248453816196,1.334253191947937,-0.0006680488586425781
popularity,LinearRegression,1.4709363132262443,1.309480581474203,0.025099266018341226
popularity,Ridge,1.4709360455593004,1.3094807530729882,0.025099620824561075
popularity,XGBoost,1.4466322363581243,1.2779865264892578,0.057049453258514404
