- changelog:
    - fixed key and mode columns
        - Some key and mode values were string. we converted them to integers.
- columns
    - acousticness
    - instrumentalness
    - liveness
    - speechiness
    - loudness
    - tempo
    - duration_ms
    - key
    - mode
- multi language
- approx 770,000 songs

# Results
target,model,rmse,mae,r2
valence,Mean,0.252616338273694,0.21509511557985564,-6.678900611589711e-05
valence,LinearRegression,0.24206008986734692,0.20460306681991758,0.0817678086304594
valence,Ridge,0.24206009054232658,0.2046030736682244,0.08176780350951562
valence,XGBoost,0.21248768237186486,0.1753329266645614,0.29242308879727563
energy,Mean,0.24400921685480764,0.20484292671131968,-0.0006134028069282316
energy,LinearRegression,0.12109379439191115,0.0957086823990328,0.7535677007363288
energy,Ridge,0.12109379369358,0.09570870349276477,0.7535677035786107
energy,XGBoost,0.105631093510688,0.08037459372135143,0.8124843994851143
danceability,Mean,0.17300532618051007,0.14109926351332455,-5.908042639890532e-05
danceability,LinearRegression,0.16296970191315027,0.13259336047987152,0.11259789888148108
danceability,Ridge,0.16296970267184202,0.13259336342247444,0.11259789061902947
danceability,XGBoost,0.12897441524705172,0.10322086630602818,0.44420601121547176
popularity,Mean,17.42213711347294,14.52040825658707,-0.0023894702111464383
popularity,LinearRegression,17.282231476727624,14.436194750447276,0.013644940400033279
popularity,Ridge,17.282231423091503,14.436194843310036,0.013644946522420875
popularity,XGBoost,17.075756247265176,14.224416732788086,0.03707265853881836

