- changelog:
    - change to only english language songs
- columns
    - acousticness
    - instrumentalness
    - liveness
    - speechiness
    - loudness
    - tempo
    - duration_ms
    - key
    - mode
- only english language
- approx 550,000 songs

# Results
target,model,rmse,mae,r2
valence,Mean,0.24883977098751683,0.21095219951632996,-0.0004373575663936258
valence,LinearRegression,0.23867066355922972,0.2008435772008819,0.07965979281958879
valence,Ridge,0.2386706655696872,0.20084358723169238,0.07965977731450069
valence,XGBoost,0.21288873191293034,0.17533315450483747,0.26775626492694315
energy,Mean,0.24484574945189475,0.2059276396457485,-1.947289463011259e-08
energy,LinearRegression,0.12028039228813574,0.09519295496627686,0.7586737623665525
energy,Ridge,0.12028039278142652,0.09519298275923521,0.7586737603871108
energy,XGBoost,0.10508155985191359,0.07983281669458227,0.8158092177808386
danceability,Mean,0.1711322041120216,0.13929654053541504,-0.0002904286482299234
danceability,LinearRegression,0.16044492147371545,0.13017960242747856,0.12074554908015767
danceability,Ridge,0.16044492183432305,0.13017960558287395,0.12074554512782532
danceability,XGBoost,0.12886399511263896,0.10285260523619091,0.4328136006045067
popularity,Mean,16.95713756325786,14.231703310742574,-0.00041628674005766975
popularity,LinearRegression,16.8450961177233,14.088003314244759,0.012760204263586039
popularity,Ridge,16.845096045454664,14.088003438575411,0.012760212734475695
popularity,XGBoost,16.674152880058948,13.910223007202148,0.032695472240448

