- changelog:
    - year column added, no genre column
- columns
    - acousticness
    - instrumentalness
    - liveness
    - speechiness
    - loudness
    - tempo
    - duration_ms
    - key
    - mode
    - year
- only english language
- approx 550,000 songs

# Results
target,model,rmse,mae,r2
valence,Mean,0.24883977098751683,0.21095219951632996,-0.0004373575663936258
valence,LinearRegression,0.23430790178670627,0.19630925444681863,0.11299884687464168
valence,Ridge,0.2343078902792068,0.19630931607918717,0.11299893400072636
valence,XGBoost,0.2078171899786951,0.17057641441647256,0.3022284617334723
energy,Mean,0.24484574945189475,0.2059276396457485,-1.947289463011259e-08
energy,LinearRegression,0.11883453553668596,0.09402591117782784,0.764440720883447
energy,Ridge,0.11883447535761418,0.09402607085109042,0.7644409594628316
energy,XGBoost,0.10282894517427504,0.07812734904543267,0.8236215052079151
danceability,Mean,0.1711322041120216,0.13929654053541504,-0.0002904286482299234
danceability,LinearRegression,0.16005062199986242,0.12989602815610882,0.12506184108648755
danceability,Ridge,0.16005057589989924,0.12989597160666752,0.12506234510965963
danceability,XGBoost,0.1280063237839393,0.10209048926636828,0.4403384435929245
popularity,Mean,16.95713756325786,14.231703310742574,-0.00041628674005766975
popularity,LinearRegression,16.767834749111234,14.013550280324088,0.02179554314520704
popularity,Ridge,16.76783392102157,14.013553383112052,0.021795639763642627
popularity,XGBoost,16.244410096245417,13.424915313720703,0.08191365003585815
