- changelog:
    - genre column added, no year column
- columns
    - acousticness
    - instrumentalness
    - liveness
    - speechiness
    - loudness
    - tempo
    - duration_ms
    - key
    - mode
    - genre
- only english language
- approx 550,000 songs

# Results
target,model,rmse,mae,r2
valence,Mean,0.24883977098751683,0.21095219951632996,-0.0004373575663936258
valence,LinearRegression,0.23113089365464753,0.19252400511761528,0.13688967593507906
valence,Ridge,0.23113085853599674,0.19252412626138082,0.13688993822167594
valence,XGBoost,0.205800271202126,0.16887492240661772,0.3157068383727295
energy,Mean,0.24484574945189475,0.2059276396457485,-1.947289463011259e-08
energy,LinearRegression,0.11566143800019066,0.09039548740173214,0.776852489829403
energy,Ridge,0.1156612663789337,0.09039565470005038,0.7768531520523259
energy,XGBoost,0.101950599772716,0.07713573793043571,0.8266218196740014
danceability,Mean,0.1711322041120216,0.13929654053541504,-0.0002904286482299234
danceability,LinearRegression,0.14113087332553179,0.11337672958409106,0.31969026851467364
danceability,Ridge,0.14113081107417116,0.11337673331685613,0.3196908686696376
danceability,XGBoost,0.11783243890046369,0.09400597101158017,0.5257663584550729
popularity,Mean,16.95713756325786,14.231703310742574,-0.00041628674005766975
popularity,LinearRegression,16.71498192676011,13.94393503233007,0.027952496103299418
popularity,Ridge,16.714977048835255,13.943936107999178,0.027953063447495152
popularity,XGBoost,16.58025194738222,13.812494277954102,0.04355967044830322
